Month,Start Date,End Date,Duration,Time,Event,Location,,Event Type,Tier,Target Garage,Partner / Agreement,Recurring,Event Website,MG Landing Page,Marketing Start Date,Expected Attendance,SEM Needs,Contact,Partner Rates,Total Comp Validations,12 Hr Drive-Up,24 Hr Drive-Up,MG/Parking.Com Rate,Spothero Rate,Parkwhiz Rate,Notes
May,"Thu, May 16","Thu, May 16", 1 ,8:00 PM,Sapphire Presents ODESZA DJ Set,Chicago Theatre,-,Performance,Tier 3,,No,,https://www.msg.com/calendar/the-chicago-theatre-may-2024-sapphire-presents-odesza-dj-set/070060899022101B,,,,,,,,,,,,,
May,"Thu, May 16","Thu, May 16", 1 ,6 PM to 10 PM,J.P. Morgan Chase Corporate Challenge,Grant Park,Lakeshore Athletic Services,Race,Tier 2,GPS,Yes,Yes,https://www.jpmorganchasecc.com/en/chicago,https://www.millenniumgarages.com/jpmorgancorporatechallenge/,,"12,000",,,,,,,,,,
May,"Fri, May 17","Sat, May 18", 1 ,Various,RAIN – A Tribute to The Beatles,CIBC Theatre,Broadway in Chicago,Performance,Tier 3,,No,,https://www.broadwayinchicago.com/shows/rain/,,,,,,,,,,,,,
May,"Fri, May 17","Fri, May 17", 1 ,1:00 PM,Helmchen Plays Beethoven,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/helmchen-plays-beethoven/,,,,,,,,,,,,,
May,"Fri, May 17","Fri, May 17", 1 ,8:00 PM,"Duets: Dianne Reeves, Chucho Valdés & Joe Lovano",Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/scp-jazz/reeves-valdes-lovano/,,,,,,,,,,,,,
May,"Sat, May 18","Sat, May 18", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
May,"Sat, May 18","Sat, May 18", 1 ,7:30 PM,Helmchen Plays Beethoven,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/helmchen-plays-beethoven/,,,,,,,,,,,,,
May,"Sat, May 18","Sat, May 18", 1 ,7:30 PM,Wanda Sykes,Chicago Theatre,-,Performance,Tier 3,,No,,https://www.msg.com/calendar/the-chicago-theatre-may-2024-wanda-sykes/07005F5104C9455F,,,,,,,,,,,,,
May,"Sat, May 18","Sat, May 18", 1 ,7:30 PM,Chicago Fire FC vs. Columbus Crew,Soldier Field,Soldier Field,Game,,,,,https://www.soldierfield.com/events/detail/chicago-fire-fc-vs-columbus-crew-2,,,,,,,,,,,,,
May,"Sat, May 18","Sat, May 18", 1 ,"10 AM, 11:45 AM",Once Upon a Symphony: Goldilocks and the Three Bears,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-for-kids/ouas-goldilocks/,,,,,,,,,,,,,
May,"Sun, May 19","Sun, May 19", 1 ,3:00 PM,Evgeny Kissin,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/scp-piano/evgeny-kissin/,,,,,,,,,,,,,
May,"Sun, May 19","Sun, May 19", 1 ,5:30AM to 1 PM,Life Time Spring Half Marathon & 10k,Maggie Daley Park,"Life Time, Inc",Race,Tier 2,MLG,,Yes,https://www.chicagospringhalf.com/,https://www.millenniumgarages.com/springhalfmarathon/,,"9,500",,,,,,,,,,
May,"Tue, May 21","Sun, May 26", 5 ,Various,Beetlejuice,James M. Nederlander Theatre,Broadway in Chicago,Performance,Tier 3,,No,,https://www.broadwayinchicago.com/shows/beetlejuice/,,,,,,,,,,,,,
May,"Tue, May 21","Tue, May 21", 1 ,7:30 PM,Helmchen Plays Beethoven,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/helmchen-plays-beethoven/,,,,,,,,,,,,,
May,"Wed, May 22","Wed, May 22", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
May,"Thu, May 23","Mon, May 27", 4 ,Various,International Mr. Leather,McCormick Place,-,Performance,Tier 3,GPS,,,https://www.imrl.com/,,,,,,,,,,,,,
May,"Thu, May 23","Sat, May 25", 2 ,7:30 PM,Salonen Conducts Mahler Resurrection,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/salonen-conducts-mahler-resurrection/,,,,,,,,,,,,,
May,"Thu, May 23","Thu, May 23", 1 ,7:30 PM,Neil Young & Crazy Horse,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.pavilionnortherlyisland.com/events/neil-young-crazy-horse-23-may-2024/,,,,,,,,,,,,,
May,"Fri, May 24","Fri, May 24", 1 ,8:00 PM,Sofia Niño de Rivera – Gira 2024,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/sofia-nino-de-rivera/,,,,,,,,,,,,,
May,"Fri, May 24","Fri, May 24", 1 ,8:00 PM,Bryson Tiller,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.pavilionnortherlyisland.com/events/bryson-tiller-24-may-2024/,,,,,,,,,,,,,
May,"Sat, May 25","Sun, May 26", 1 ,12 PM to 10 PM,Suenos,Grant Park,C3,Festival,Tier 1,No GPS,Yes,Yes,https://www.suenosmusicfestival.com/,https://www.millenniumgarages.com/grant-park-turkey-trot/,,"65,000",,,,,,,,,,
May,"Sat, May 25","Sat, May 25", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
May,"Sat, May 25","Sat, May 25", 1 ,1:00 PM,The Magical Strings of Youth,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/rentals/magical-strings-of-youth/,,,,,,,,,,,,,
May,"Sat, May 25","Sat, May 25", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
May,"Sat, May 25","Sat, May 25", 1 ,4 PM - 7 PM,Southland College Prep Graduation,Harris Theater,Harris Theater,Community,Tier 3,,Yes,,,,,,,,,,,,,,,
May,"Sat, May 25","Sat, May 25", 1 ,5 AM to 12 PM,Soldier Field 10 Mile,Soldier Field,Soldier Field,Race,N/A,,,,https://soldierfield10.com/,,,"8,000",,,,,,,,,,
May,"Sun, May 26","Sun, May 26", 1 ,2:00 PM,Western Springs School of Talent Education & Naperville Suzuki School,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/rentals/wsste-naperville/,,,,,,,,,,,,,
May,"Mon, May 27","Mon, May 27", 1 ,-,Memorial Day (Federal),-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
May,"Mon, May 27","Mon, May 27", 1 ,10:30 AM - 12:45 PM,Memorial Day Ceremony,"Grant Lawn
Michigan 9th-11th",-,Community,Tier 3,,,,,,,,,,,,,,,,,
May,"Tue, May 28","Tue, May 28", 1 ,7:00 PM,NEEDTOBREATHE & Judah and the Lion,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.ticketsqueeze.com/tickets/5938813/buy-tickets,,,,,,,,,,,,,
May,"Tue, May 28","Tue, May 28", 1 ,7 PM - 9 PM,ChiArts Graduation,Harris Theater,Harris Theater,Community,Tier 3,,Yes,,,,,,,,,,,,,,,
May,"Wed, May 29","Wed, May 29", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
May,"Wed, May 29","Wed, May 29", 1 ,7:30 PM,Chicago Fire FC vs. Orlando City SC,Soldier Field,Soldier Field,Game,,,,,https://www.soldierfield.com/events/detail/chicago-fire-fc-vs-orlando-city-sc-1,,,,,,,,,,,,,
May,"Wed, May 29","Wed, May 29", 1 ,9:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
May,"Thu, May 30","Sat, Jun 1", 2 ,Various,"Member Preview: Georgia O'Keefe ""My New Yorks""",Art Institute of Chicago,Art Institute of Chicago,Performance,Tier 3,,,,https://www.artic.edu/events/5906/member-previews-georgia-o-keeffe-my-new-yorks,,,,,,,,,,,,,
May,"Thu, May 30","Thu, May 30", 1 ,7:30 PM,Montgomery & Bruckner 7,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/montgomery-and-bruckner-7/,,,,,,,,,,,,,
May,"Thu, May 30","Thu, May 30", 1 ,4 PM - 5:30 PM,Ogden High School Graduation,Harris Theater,Harris Theater,Community,Tier 3,,Yes,,,,,,,,,,,,,,,
May,"Fri, May 31","Fri, May 31", 1 ,1:30 PM,Montgomery & Bruckner 7,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/montgomery-and-bruckner-7/,,,,,,,,,,,,,
May,"Fri, May 31","Fri, May 31", 1 ,7:30 PM,An Evening with John Cusack & Screening of High Fidelity,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,,,,,,,,,,,,,,
May,"Fri, May 31","Fri, May 31", 1 ,2 PM - 4 PM,Chicago Tech Academy Graduation,Harris Theater,Harris Theater,Community,Tier 3,,Yes,,,,,,,,,,,,,,,
June,"Sat, Jun 1","Sun, Jun 2", 1 ,Various,Beyond Wonderland Chicago,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.pavilionnortherlyisland.com/events/beyond-wonderland-chicago-01-june-2024/,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,8:30 AM,"Under Armour Women's Run
Run Mfg 5K & 10K","Grant Park
Arvey Field",-,Race,N/A,,,,https://uawomensrun.com/,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,7:30 PM,Good Mythical Tour with Rhett & Link,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/good-mythical-tour-with-rhett-link/,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,7:30 PM,Montgomery & Bruckner 7,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/montgomery-and-bruckner-7/,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,7:30 PM,Chicago Fire FC vs. LA Galaxy,Soldier Field,Soldier Field,Game,,,,,https://www.soldierfield.com/events/detail/chicago-fire-fc-vs-la-galaxy,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,8:00 PM,TANK,Chicago Theatre,-,Performance,Tier 3,,No,,https://www.msg.com/calendar/the-chicago-theatre-june-2024-tank/0700606603DA549E,,,500,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,10 AM - 11:30 AM,ITW Graduation,Harris Theater,Harris Theater,Community,Tier 3,,Yes,,,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,11 AM - 2 PM,Festival In the Park,Lakeshore East Park,-,Community,Tier 3,,,,,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,11 AM - 3 PM,National Louis Annual Commencement Fair,Maggie Daley Park,National Louis University,Community,Tier 3,,,Yes,,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,4 PM - 9 PM,Chicago Gospel Music Festival,Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,Yes,,https://www.chicago.gov/city/en/depts/dca/supp_info/chicago_gospel_musicfestival.html,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
June,"Sat, Jun 1","Sat, Jun 1", 1 ,8 AM to 12 PM,Cancer Survivor's Celebration Walk and 5k,"Grant Park
Arvey Field",Robert H. Lurie Comprehensive Cancer Center of Northwestern University,Race,Tier 3,GPS,No,Yes,https://www.cancer.northwestern.edu/news/2023/survivors-walk-2023.html,https://www.millenniumgarages.com/featured-attractions/lurie5k/,,,,elson.rothschild@northwestern.edu,,,,,,,,
June,"Sun, Jun 2","Sun, Sep 22", 112 ,Various,"New Exhibit: Georgia O'Keefe ""My New Yorks""",Art Institute of Chicago,Art Institute of Chicago,Performance,Tier 3,,,,https://www.artic.edu/exhibitions/9539/georgia-o-keeffe-my-new-yorks,,,,,,,,,,,,,
June,"Sun, Jun 2","Sun, Jun 2", 1 ,3:00 PM,Bruce Liu,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/scp-piano/bruce-liu/,,,,,,,,,,,,,
June,"Sun, Jun 2","Sun, Jun 2", 1 ,6:00 PM,Black Girls Dance® presents ICONS,Harris Theater,Harris Theater,Performance,Tier 3,,Yes,,https://www.harristheaterchicago.org/performance/black-girls-dance-icons,,,,,,,,,,,,,
June,"Sun, Jun 2","Sun, Jun 2", 1 ,1 PM - 9 PM,Chicago House Music Festival,Jay Pritzker Pavilion,DCASE,Performance,Tier 3,,Yes,,https://www.chicago.gov/city/en/depts/dca/supp_info/house_music3.html,,,,,,,,,,,,,
June,"Mon, Jun 3","Mon, Jun 3", 1 ,7:30 PM,Civic & Ryan Opera Center,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/civic-orchestra/civic-ryan-opera-center/,,,,,,,,,,,,,
June,"Tue, Jun 4","Sun, Jul 14", 40 ,Various,SIX,James M. Nederlander Theatre,Broadway in Chicago,Performance,Tier 3,,No,,https://www.broadwayinchicago.com/shows/six/,,,,,,,,,,,,,
June,"Tue, Jun 4","Tue, Jun 4", 1 ,8:00 AM,Harbor's 5k Networking Run,"Grant DuSable Harbor
Event Space",-,Race,Tier 4,,,,,,,,,,,,,,,,,
June,"Tue, Jun 4","Tue, Jun 4", 1 ,7:30 PM,"Shaken, Not Stirred",Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-specials/shaken-not-stirred/,,,,,,,,,,,,,
June,"Wed, Jun 5","Wed, Jun 5", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
June,"Wed, Jun 5","Wed, Jun 5", 1 ,4 PM - 10 PM,Adler free days,Adler Planetarium,-,Community,Tier 3,,,,https://www.adlerplanetarium.org/visit/tickets/special-offers/,,,,,,,,,,,,,
June,"Wed, Jun 5","Wed, Jun 5", 1 ,5 PM - 10 PM,Jazzin' at the Shedd,Shedd Aquarium,-,Community,Tier 3,,,,https://www.sheddaquarium.org/programs-and-events/jazzin-at-the-shedd,,,,,,,,,,,,,
June,"Wed, Jun 5","Wed, Jun 5", 1 ,7:30 PM,Red Hot & Blues Women in Chicago — World Capital of the Blues,Harris Theater,Harris Theater,Performance,Tier 3,,Yes,,https://www.harristheaterchicago.org/performance/women-in-blues,,,,,,,,,,,,,
June,"Wed, Jun 5","Wed, Jun 5", 1 ,9:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
June,"Thu, Jun 6","Sat, Jun 8", 2 ,7:30 PM,Ravel Boléro,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/ravel-bolero/,,,,,,,,,,,,,
June,"Thu, Jun 6","Sat, Jun 8", 2 ,7:30 PM,Wait Wait... Don't Tell Me,Studebaker Theater,Fine Arts Building,Performance,Tier 3,,,,https://www.fineartsbuilding.com/events/wait-wait-dont-tell-me/,,,,,,,,,,,,,
June,"Thu, Jun 6","Sat, Jun 8", 2 ,8 AM - 11 AM,Power Chicago Leadership,"Grant Lawn
Michigan 9th-11th",-,Community,Tier 3,,,,,,,,,,,,,,,,,
June,"Thu, Jun 6","Thu, Jun 6", 1 ,5 PM - 8 PM,Art Institute free days,Art Institute of Chicago,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
June,"Thu, Jun 6","Thu, Jun 6", 1 ,6:30 PM,Strides for Peace,"Grant Park
Upper Hutchinson",-,Race,Tier 4,GPS,,Yes,https://www.stridesforpeace.org/about-the-race/,N/A,,"2,200",,,,,,,,,,
June,"Thu, Jun 6","Thu, Jun 6", 1 ,7:30 PM,Tye Tribbett and Friends: Only One Night Tho,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/tye-tribbett/,,,,,,,,,,,,,
June,"Fri, Jun 7","Sun, Jun 9", 2 ,Various,Chicago Blues Festival,Millennium Park,DCASE,Performance,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/chicago_blues_festival.html,,,,,,,,,,,,,
June,"Fri, Jun 7","Fri, Jun 7", 1 ,8:00 PM,TANK,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-june-2024-tank/0700606603DA549E,,,,,,,,,,,,,
June,"Sat, Jun 8","Sat, Jun 8", 1 ,7:30 AM,American Cancer Society Walk & Roll,Maggie Daley Park,American Cancer Society,Race,Tier 3,MLG,,Yes,https://secure.acsevents.org/site/TR/ACTIVEFundraising/CFPCY22NCR?pg=entry&fr_id=102885,https://www.millenniumgarages.com/walkandrollchicago/,,"5,000",,,,,,,,,,
June,"Sat, Jun 8","Sat, Jun 8", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
June,"Sat, Jun 8","Sat, Jun 8", 1 ,6 AM to 12:30 PM,Walk & Roll Chicago,"Grant Park
Arvey Field",American Cancer Society,Race,Tier 3,,Yes,Yes,https://secure.acsevents.org/site/STR?pg=entry&fr_id=108181,,,,,,,,,,,,,
June,"Sat, Jun 8","Sat, Jun 8", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
May,"Sun, Jun 9","Sun, Jun 9", 1 ,8:00 AM,Bark In The Park,Soldier Field,Soldier Field,Community,Tier 3,,,,"https://www.raceentry.com/bark-in-the-park-5k-chicago/race-information#:~:text=Bark%20in%20the%20Park%205K,%2F21%2F2024%20%2D%20Race%20Information",,,,,,,,,,,,,
June,"Sun, Jun 9","Sun, Jun 9", 1 ,3:00 PM,Hilary Hahn & Friends,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/scp-chamber/hilary-hahn-and-friends/,,,,,,,,,,,,,
June,"Sun, Jun 9","Sun, Jun 9", 1 ,5:30 PM,Argentina vs. Ecuador,Soldier Field,Soldier Field,Game,,,,,https://www.soldierfield.com/events/detail/argentina-vs-ecuador,,,,,,,,,,,,,
June,"Tue, Jun 11","Mon, Jun 24", 13 ,Various,The Kite Runner,CIBC Theatre,Broadway in Chicago,Performance,Tier 3,,No,,https://www.broadwayinchicago.com/shows/the-kite-runner/,,,,,,,,,,,,,
June,"Tue, Jun 11","Tue, Jun 11", 1 ,7:30 PM,Ravel Boléro,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/ravel-bolero/,,,,,,,,,,,,,
June,"Tue, Jun 11","Tue, Jun 11", 1 ,7:30 PM,Sarah McLachlan,Huntington Bank Pavilion | Northerly Island,Huntington Bank Pavilion,Performance,Tier 3,,No,,https://www.ticketsqueeze.com/tickets/6147555/buy-tickets,,,,,,,,,,,,,
June,"Wed, Jun 12","Wed, Jun 12", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
June,"Wed, Jun 12","Wed, Jun 12", 1 ,4 PM - 10 PM,Adler free days,Adler Planetarium,-,Community,Tier 3,,,,https://www.adlerplanetarium.org/visit/tickets/special-offers/,,,,,,,,,,,,,
June,"Wed, Jun 12","Wed, Jun 12", 1 ,5 PM - 10 PM,Jazzin' at the Shedd,Shedd Aquarium,-,Community,Tier 3,,,,https://www.sheddaquarium.org/programs-and-events/jazzin-at-the-shedd,,,,,,,,,,,,,
June,"Wed, Jun 12","Wed, Jun 12", 1 ,6:30 PM,"GPMF Begins:
Dvořák Cello Concerto",Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,No,,https://www.grantparkmusicfestival.com/music/2024-season-2/2024-dvorak-cello-concerto,,,,,,,,,,,,,
June,"Wed, Jun 12","Wed, Jun 12", 1 ,9:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
June,"Thu, Jun 13","Thu, Jun 13", 1 ,5 PM - 8 PM,Art Institute free days,Art Institute of Chicago,Art Institute of Chicago,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
June,"Thu, Jun 13","Thu, Jun 13", 1 ,7:30 PM,The Elements with Joshua Bell,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/the-elements-with-joshua-bell/,,,,,,,,,,,,,
June,"Fri, Jun 14","Sun, Jun 16", 2 ,Various,Queens of the Blues,Studebaker Theater,Fine Arts Building,Performance,Tier 3,,,,https://www.fineartsbuilding.com/events/queens-of-the-blues/,,,,,,,,,,,,,
June,"Fri, Jun 14","Fri, Jun 14", 1 ,1:30 PM,The Elements with Joshua Bell,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/the-elements-with-joshua-bell/,,,,,,,,,,,,,
June,"Fri, Jun 14","Fri, Jun 14", 1 ,6:30 PM,Tetzlaff Plays Elgar,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,No,,https://www.grantparkmusicfestival.com/music/2024-season-2/tetzlaff-plays-elgar,,,,,,,,,,,,,
June,"Fri, Jun 14","Fri, Jun 14", 1 ,8:00 PM,Donny Osmond,Chicago Theatre,-,Performance,Tier 3,,No,,https://www.msg.com/calendar/the-chicago-theatre-june-2024-donny-osmond/0700605CAB422C0D,,,,,,,,,,,,,
June,"Fri, Jun 14","Fri, Jun 14", 1 ,6 pm - 8:30 pm,"Luminary Garden Party Georgia O'Keeffe, My New Yorks",Art Institute of Chicago,Art Institute of Chicago,Performance,Tier 3,,,,https://www.artic.edu/events/5825/luminary-garden-party-georgia-o-keeffe-my-new-yorks,,,,,,,,,,,,,
June,"Sat, Jun 15","Sun, Jun 16", 1 ,10 AM to 5 PM,Gold Coast Art Fair,"Grant Park
Butler Field",Amdur Productions,Community,Tier 3,MLG,Yes,Yes,https://amdurproductions.com/gold-coast-art-fair-artist-info-2/,https://www.millenniumgarages.com/goldcoastartfair-2/,,"8,200",,,,,,,,,,
June,"Sat, Jun 15","Sat, Jun 15", 1 ,5:00 PM,Kenny Chesney: Sun Goes Down Tour,Soldier Field,Soldier Field,Performance,Tier 3,,,,https://www.soldierfield.com/events/detail/kenny-chesney-sun-goes-down-tour,,,,,,,,,,,,,
June,"Sat, Jun 15","Sat, Jun 15", 1 ,7:30 PM,The Elements with Joshua Bell,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-classical/the-elements-with-joshua-bell/,,,,,,,,,,,,,
June,"Sat, Jun 15","Sat, Jun 15", 1 ,7:30 PM,Tetzlaff Plays Elgar,Jay Pritzker Pavilion,GPMF,Performance,Tier 3,,No,,https://www.grantparkmusicfestival.com/music/2024-season-2/tetzlaff-plays-elgar,,,,,,,,,,,,,
June,"Sat, Jun 15","Sat, Jun 15", 1 ,10:00 PM,Summer Fireworks,Navy Pier,City of Chicago,Performance,Tier 3,,,,https://navypier.org/summer-fireworks/,,,,,,,,,,,,,
June,"Sat, Jun 15","Sat, Jun 15", 1 ,-,Juneteeth (Federal),-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
June,"Sat, Jun 15","Sat, Jun 15", 1 ,11 AM - 5 PM,Corporate Partner Day,Art Institute of Chicago,Art Institute of Chicago,Performance,Tier 3,,,,,,,,,,,,,,,,,
June,"Sat, Jun 15","Sat, Jun 15", 1 ,8 AM - 11:45 AM,Millennium Park Summer Workouts,Millennium Park,DCASE,Community,Tier 3,,,,https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park4.html,,,,,,,,,,,,,
June,"Sun, Jun 16","Mon, Jun 17", 1 ,7:00 AM,Sail GP,Lake Michigan/Navy Pier,SailGP,Community,Tier 3,,,Yes,https://sailgp.com/news/23/season-4-record-12-event-calendar-finalized/,,,,,,,,,,,,,
June,"Sun, Jun 16","Sun, Jun 16", 1 ,5:30 PM,Joffrey for All - Free Performance,Millennium Park,DCASE,Performance,Tier 3,,,,https://joffrey.org/performances-and-tickets/midsummer-celebration-and-free-public-performance/joffrey-for-all-free-public-performance/,,,,,,,,,,,,,
June,"Sun, Jun 16","Sun, Jun 16", 1 ,-,Father's Day,-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
June,"Sun, Jun 16","Sun, Jun 16", 1 ,Various,National Louis University Move-Out,National Louis,Colleges,Community,Tier 3,,,,https://nl.edu/student-services/housing-and-residence-life/important-dates/,,,,,,,,,,,,,
June,"Tue, Jun 18","Tue, Jun 18", 1 ,6:30 PM,Trillium Ensemble Plays Brahms,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,Yes,,https://cso.org/performances/23-24/cso-chamber/trillium-ensemble/,,,,,,,,,,,,,
June,"Wed, Jun 19","Wed, Jun 19", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,Tier 3,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
